name,followers,popularity,genres,chart_hits
Byklubben,1738.0,24,"['nordic house', 'russelater']",['no (3)']
Kontra K,1999676.0,72,"['christlicher rap', 'german hip hop']","['at (44)', 'de (111)', 'lu (22)', 'ch (31)', 'vn (1)']"
Maxim,34596.0,36,[],['de (1)']
Christopher Martin,249233.0,52,"['dancehall', 'lovers rock', 'modern reggae', 'reggae fusion']","['at (1)', 'de (1)']"
Jakob Hellman,21193.0,39,"['classic swedish pop', 'norrbotten indie', 'swedish pop']",['se (6)']
Madh,26677.0,19,[],['it (2)']
Juice,11312.0,37,"['swedish drill', 'swedish hip hop', 'swedish trap', 'swedish trap pop']",['se (4)']
Nehuda,36252.0,31,['francoton'],['fr (1)']
VovaZiLvova,14619.0,43,"['ukrainian hip hop', 'ukrainian pop', 'ukrainian rock']",['ua (1)']
Nata Record,188.0,12,[],['do (1)']
Yomi,7246.0,30,['norwegian pop rap'],['no (2)']
Kauniit & Uhkarohkeat,798.0,9,['suomi rock'],['fi (2)']
Danny Elfman,327256.0,63,"['orchestral soundtrack', 'soundtrack']","['pl (2)', 'pt (2)', 'tw (1)']"
Attractions,11174.0,21,['japanese dance pop'],['jp (1)']
MaRina,6408.0,29,[],['pl (1)']
Rockwell,40344.0,58,[],"['us (1)', 'gb (1)', 'at (1)', 'be (1)', 'ca (1)', 'ee (1)', 'de (1)', 'is (1)', 'ie (1)', 'lv (1)', 'lt (1)', 'sk (1)']"
Cosmos Insania,17.0,0,[],['hn (3)']
GeeSixFive,517.0,0,[],['za (1)']
Suur Papa,6752.0,29,"['estonian hip hop', 'estonian pop']",['ee (3)']
Vybz Kartel,1026598.0,63,"['dancehall', 'jamaican dancehall', 'reggae fusion']","['cr (3)', 'pa (1)']"
CAMO,394.0,10,[],['dk (2)']
Apocalyptica,864846.0,60,"['alternative metal', 'bow pop', 'cello', 'finnish metal', 'nu metal']",['fi (2)']
Dua Lipa,36163788.0,88,"['dance pop', 'pop', 'uk pop']","['us (17)', 'gb (25)', 'ar (18)', 'au (20)', 'at (14)', 'be (23)', 'bo (10)', 'br (18)', 'bg (24)', 'ca (19)', 'cl (16)', 'co (18)', 'cr (18)', 'cy (21)', 'cz (17)', 'dk (17)', 'do (9)', 'ec (9)', 'eg (13)', 'sv (19)', 'ee (24)', 'fi (22)', 'fr (12)', 'de (14)', 'gr (22)', 'gt (12)', 'hn (18)', 'hk (19)', 'hu (24)', 'is (12)', 'in (6)', 'id (13)', 'ie (24)', 'il (12)', 'it (11)', 'jp (9)', 'lv (18)', 'lt (24)', 'lu (20)', 'my (16)', 'mt (20)', 'mx (18)', 'ma (6)', 'nl (20)', 'nz (19)', 'ni (18)', 'no (16)', 'pa (15)', 'py (9)', 'pe (16)', 'ph (18)', 'pl (23)', 'pt (21)', 'ro (18)', 'ru (6)', 'sa (10)', 'sg (21)', 'sk (23)', 'za (5)', 'kr (6)', 'es (18)', 'se (14)', 'ch (14)', 'tw (18)', 'th (11)', 'tr (12)', 'ua (6)', 'ae (15)', 'uy (15)', 'vn (19)']"
Akky,35.0,1,[],"['ca (1)', 'in (1)']"
Stefanie Sun,561300.0,57,"['c-pop', 'mandopop', 'singaporean mandopop', 'singaporean pop', 'singaporean singer-songwriter']","['hk (2)', 'sg (3)', 'tw (36)']"
Twins,92440.0,45,"['c-pop', 'cantopop']",['hk (3)']
Aspova,339292.0,57,"['turkish hip hop', 'turkish trap pop']",['tr (12)']
Artistic Raw,7088.0,40,['dutch house'],['nl (1)']
Angela Ken,30050.0,45,['pinoy singer-songwriter'],['ph (1)']
Labanoon,498739.0,44,"['thai folk rock', 'thai rock']",['th (2)']
Khea,296.0,0,[],"['ar (1)', 'bo (1)', 'cl (1)', 'py (1)', 'uy (1)']"
Daniela Reyes,2348.0,25,"['norwegian contemporary jazz', 'norwegian indie']",['no (1)']
Benny The Butcher,266547.0,64,"['boom bap', 'buffalo hip hop', 'hip hop', 'rap', 'upstate ny rap']","['us (1)', 'ca (1)', 'za (1)']"
Sharmoofers,453284.0,37,"['arab alternative', 'egyptian alternative', 'egyptian pop']",['eg (8)']
Ray Dalton,39139.0,71,['uk pop'],"['at (1)', 'be (1)', 'fr (1)', 'de (1)', 'lu (1)', 'pl (1)', 'sk (1)', 'ch (1)']"
Orange & Lemons,774079.0,56,"['opm', 'pinoy indie', 'pinoy rock']",['ph (2)']
D1NO,19269.0,48,['german hip hop'],['de (1)']
Pep & Rash,77599.0,39,"['dutch edm', 'electro house', 'future house', 'house']","['gb (1)', 'ar (1)', 'ie (1)', 'mx (1)', 'nl (2)', 'tw (1)']"
B10,80926.0,45,['drill espanol'],['es (1)']
APO Hiking Society,619169.0,56,"['classic opm', 'opm']",['ph (2)']
Cristian Castro,2620684.0,69,"['latin arena pop', 'latin pop']","['ar (1)', 'mx (1)']"
Alika,28254.0,0,[],['id (1)']
Nobuo Uematsu,264682.0,61,"['anime score', 'chiptune', 'final fantasy', 'japanese classical', 'japanese vgm', 'orchestral soundtrack', 'video game music']",['sa (1)']
Nick Lopez,3252.0,31,[],['lu (1)']
SAMSONS,887275.0,57,"['indonesian pop', 'indonesian pop rock']","['id (3)', 'my (1)']"
Total Ape,3330.0,34,[],['se (1)']
DON EAZY,1210.0,28,['danish hip hop'],['dk (1)']
Ez Mil,68207.0,44,"['pinoy hip hop', 'pinoy trap', 'tagalog rap']","['ph (1)', 'ae (1)']"
Sitti,74147.0,47,['opm'],['ph (1)']
Los Pikantes,7752.0,33,['plena uruguaya'],['uy (2)']
Eliza Rose,12038.0,69,[],"['gb (2)', 'au (2)', 'at (1)', 'be (1)', 'cy (1)', 'dk (1)', 'ee (1)', 'fi (1)', 'de (1)', 'is (1)', 'ie (2)', 'lv (1)', 'lt (2)', 'lu (1)', 'nl (1)', 'nz (1)', 'no (1)', 'sk (1)', 'se (1)', 'ch (1)']"
Loren Allred,111839.0,58,"['deep talent show', 'hollywood', 'movie tunes']","['us (1)', 'gb (2)', 'au (2)', 'at (1)', 'cz (1)', 'do (1)', 'ee (1)', 'hk (2)', 'hu (1)', 'is (1)', 'id (2)', 'ie (2)', 'jp (2)', 'my (2)', 'mt (2)', 'mx (1)', 'nz (1)', 'no (1)', 'pa (1)', 'ph (2)', 'pt (1)', 'sg (2)', 'es (1)', 'se (1)', 'tw (2)']"
JEON SOYEON,626827.0,56,['k-pop'],['kr (1)']
Faul,16673.0,36,['tropical house'],"['ee (1)', 'hu (1)', 'lv (1)', 'lt (1)', 'ph (1)', 'sg (1)']"
Bruno & Barretto,2455856.0,60,"['sertanejo', 'sertanejo pop', 'sertanejo universitario']",['br (1)']
Janne Koivunen,125.0,4,[],['fi (1)']
Grailz Beni,4446.0,43,"['sad lo-fi', 'slowed and reverb']",['sa (1)']
Cakra Khan,532592.0,52,['indonesian pop'],"['id (2)', 'my (2)']"
Trey Lewis,78275.0,56,"['contemporary country', 'country pop']",['us (1)']
Antti Ketonen,5466.0,32,"['finnish pop', 'iskelma']",['fi (7)']
Danni,10436.0,29,['danish hip hop'],['dk (9)']
Alex Ubago,1928777.0,64,"['latin arena pop', 'latin pop', 'spanish pop', 'spanish pop rock']","['ar (2)', 'co (1)', 'mx (1)', 'es (1)']"
Apollon,51.0,19,[],['sa (1)']
Innertier,19208.0,38,['norwegian pop'],['no (8)']
Fractures,35028.0,39,['vapor soul'],['fr (1)']
OG Ulla-Maija,20313.0,39,"['finnish dance pop', 'finnish hip hop', 'suomirap']",['fi (7)']
Pekka Ruuska,2779.0,33,"['classic finnish pop', 'classic iskelma']",['fi (1)']
Colde,319488.0,56,"['chill r&b', 'korean r&b']",['kr (1)']
Rasster,8930.0,49,[],"['ca (1)', 'no (1)']"
Kobi Peretz,83580.0,39,"['israeli mediterranean', 'mizrahi']",['il (1)']
Powderfinger,396457.0,57,"['australian alternative rock', 'australian pop', 'australian rock', 'pop rock']",['au (1)']
DJ Travesura,25033.0,31,['guaracha'],"['ar (1)', 'uy (1)']"
Leila AD,70114.0,44,"['francoton', 'pop urbaine']",['fr (1)']
Jonzmen,140.0,0,[],['do (1)']
Phoebe Ryan,339160.0,55,"['alt z', 'electropop', 'indie electropop', 'indie poptimism', 'uk pop']","['us (1)', 'au (1)', 'be (1)', 'ca (1)', 'cz (1)', 'hk (1)', 'ie (1)', 'my (1)', 'nz (1)', 'no (2)', 'ph (1)', 'pl (1)', 'sg (1)', 'ch (1)', 'tw (1)', 'tr (1)']"
Sonoko Inoue,203114.0,55,"['anime rock', 'j-pop', 'japanese singer-songwriter']",['jp (1)']
Mente Fuerte,175840.0,53,"['greek hip hop', 'greek pop', 'greek trap']","['cy (8)', 'gr (34)']"
LA Vision,7721.0,51,[],"['at (1)', 'cz (1)', 'ee (1)', 'fi (1)', 'de (1)', 'hu (1)', 'it (1)', 'lv (1)', 'lt (1)', 'lu (1)', 'pl (1)', 'sk (1)', 'ch (1)']"
Fuego,253571.0,67,"['latin hip hop', 'rap dominicano', 'reggaeton', 'reggaeton flow', 'trap latino']","['ar (3)', 'bo (2)', 'cl (2)', 'co (3)', 'cr (2)', 'do (4)', 'ec (3)', 'sv (2)', 'fr (1)', 'gt (2)', 'hn (2)', 'it (1)', 'lu (1)', 'mx (1)', 'ni (2)', 'pa (3)', 'py (2)', 'pe (2)', 'es (6)', 'uy (4)']"
The Rudeboyz,14451.0,51,['trap brasileiro'],"['ar (1)', 'bo (1)', 'cl (2)', 'co (2)', 'cr (1)', 'do (1)', 'ec (1)', 'sv (1)', 'gt (1)', 'hn (1)', 'mt (1)', 'mx (1)', 'ni (1)', 'pa (1)', 'py (1)', 'pe (1)', 'es (1)', 'uy (1)']"
Martin Stenmarck,25787.0,37,"['classic swedish pop', 'europop', 'swedish pop']",['se (3)']
MKTO,995449.0,66,"['dance pop', 'pop', 'pop rap', 'pop rock', 'post-teen pop', 'uk pop']","['us (3)', 'gb (2)', 'au (5)', 'at (1)', 'be (2)', 'bo (1)', 'br (2)', 'bg (2)', 'ca (3)', 'cl (1)', 'co (1)', 'cr (1)', 'cz (3)', 'dk (2)', 'do (1)', 'ec (1)', 'sv (1)', 'ee (2)', 'fi (2)', 'fr (1)', 'de (1)', 'gr (2)', 'gt (1)', 'hn (1)', 'hk (3)', 'hu (3)', 'is (2)', 'ie (2)', 'it (2)', 'lv (2)', 'lt (2)', 'lu (1)', 'my (4)', 'mt (2)', 'nl (3)', 'nz (5)', 'ni (1)', 'no (3)', 'pa (1)', 'py (1)', 'pe (1)', 'ph (3)', 'pl (2)', 'pt (2)', 'sg (3)', 'sk (2)', 'za (1)', 'se (3)', 'ch (3)', 'tw (3)', 'tr (3)', 'ae (1)', 'uy (1)']"
Lauana Prado,2705362.0,69,"['sertanejo', 'sertanejo pop', 'sertanejo universitario']",['br (7)']
Lege-Cy,345340.0,47,"['egyptian hip hop', 'egyptian trap']",['eg (14)']
Sherol Dos Santos,6172.0,6,[],['it (1)']
TAEW,1385.0,31,[],['th (1)']
SACHI,15361.0,40,"['nz electronic', 'nz pop']",['nz (1)']
Ruben Annink,22014.0,43,"['dutch pop', 'dutch singer-songwriter']",['nl (1)']
Kuningasidea,19686.0,33,"['finnish dance pop', 'finnish pop', 'finnish reggae']",['fi (8)']
A Banca Records,142541.0,49,"['brazilian hip hop', 'trap brasileiro', 'trap carioca']",['br (1)']
Mokke,4495.0,42,"['swedish drill', 'swedish hip hop', 'swedish trap pop']",['se (2)']
Cooper Alan,251538.0,57,[],['no (1)']
YooA,54528.0,37,[],['tw (1)']
Linus S,5519.0,4,[],['se (2)']
Kamerzysta,142172.0,35,['polish trap'],['pl (1)']
Kpri,41055.0,47,"['french hip hop', 'pop urbaine', 'rap francais', 'rap lyonnais']",['fr (1)']
Gyakie,145598.0,51,"['afro r&b', 'azontobeats', 'nigerian pop']",['za (1)']
Sherman Chung,10196.0,30,['cantopop'],['hk (1)']
Kartky,277385.0,53,['polish hip hop'],['pl (8)']
RPG,10919.0,30,"['hong kong hip hop', 'taiwan hip hop', 'taiwan pop']",['tw (4)']
Wren Evans,26609.0,47,"['v-pop', 'vietnamese hip hop', 'vietnamese melodic rap']",['vn (3)']
Marty McKay,2545.0,10,[],['ni (1)']
Cravata,218031.0,42,"['moroccan pop', 'rai', 'rif']",['ma (9)']
Jolyon Petch,25807.0,50,"['australian house', 'deep tropical house']","['au (1)', 'nz (1)']"
Joe Stone,32782.0,55,"['deep groove house', 'edm', 'electro house', 'house', 'pop dance', 'pop edm']","['gb (1)', 'cz (1)', 'ie (1)', 'it (1)', 'lt (1)', 'nl (1)', 'sk (1)']"
Benedixhion,14722.0,39,"['russian drain', 'russian emo rap']","['ru (1)', 'ua (1)']"
SIDARTA,31493.0,60,"['greek pop', 'greek trap']","['cy (3)', 'gr (5)']"
G22,6659.0,33,['taiwan hip hop'],['tw (2)']
Protoje,335321.0,58,"['dancehall', 'modern reggae']",['cr (2)']
SPACESPEAKERS,125637.0,28,['v-pop'],['vn (1)']
Sphera,1867.0,21,[],['il (1)']
La Vida Moderna,4793.0,1,[],['es (1)']
Lars-Erik Larsson,1838.0,16,"['early modern classical', 'swedish classical']",['no (1)']
Devano,532807.0,45,['indonesian pop'],['id (2)']
Thodoris Ferris,34452.0,44,"['greek pop', 'laiko']",['cy (1)']
Ghea Indrawari,130128.0,49,['indonesian pop'],['id (1)']
Andre Hazes,624155.0,60,"['dutch pop', 'dutch rock', 'levenslied', 'nederpop']",['nl (3)']
ACE COLLECTION,42762.0,43,"['anime', 'j-pop boy group']",['jp (1)']
Samuel Kim,255766.0,65,['anime lo-fi'],"['cz (1)', 'hu (1)', 'sk (1)']"
Trifecta,175.0,8,[],"['gr (1)', 'hu (1)', 'lt (1)', 'sk (1)']"
Cassandra,16553.0,45,[],['id (1)']
